query,execution_time,rows_scanned,indexes_used
"SELECT id, name, email FROM users WHERE id = 42",2,1,"users.pk_id"
"SELECT * FROM orders WHERE order_date > '2024-01-01' AND order_date < '2024-12-31'",1250,145000,"orders.idx_order_date"
"SELECT COUNT(*) FROM transactions WHERE user_id = 5",45,8500,"transactions.idx_user_id"
"SELECT product_id, SUM(quantity) FROM order_items GROUP BY product_id",3500,520000,"order_items.idx_product_id"
"SELECT u.id, u.name, COUNT(o.id) FROM users u LEFT JOIN orders o ON u.id = o.user_id GROUP BY u.id, u.name",8900,1250000,"users.pk_id,orders.idx_user_id"
"SELECT * FROM logs WHERE status = 'ERROR'",150,2500,"logs.idx_status"
"SELECT id, title FROM posts WHERE author_id = 12 AND published = true",8,45,"posts.idx_author_id,posts.idx_published"
"SELECT * FROM products WHERE category = 'Electronics' ORDER BY price DESC LIMIT 50",2100,85000,"products.idx_category"
"SELECT * FROM customers",45000,800000,""
"SELECT DATE(created_at), COUNT(*) FROM events GROUP BY DATE(created_at)",5600,320000,"events.idx_created_at"
"SELECT u.name, u.email FROM users u WHERE u.country = 'US' AND u.status = 'active'",4200,120000,"users.idx_country,users.idx_status"
"SELECT * FROM invoices WHERE invoice_number = 'INV-2024-001234'",1,1,"invoices.pk_invoice_number"
"SELECT p.id, p.name, c.category_name FROM products p INNER JOIN categories c ON p.category_id = c.id WHERE p.price > 100",6800,450000,"products.idx_price,categories.pk_id"
"SELECT * FROM audit_logs",125000,5000000,""
"SELECT employee_id, department, AVG(salary) FROM payroll WHERE year = 2024 GROUP BY employee_id, department",2500,85000,"payroll.idx_year"
"SELECT * FROM sessions WHERE user_id = 99 AND last_activity > DATEADD(hour, -24, GETDATE())",35,250,"sessions.idx_user_id,sessions.idx_last_activity"
"SELECT product_name, units_sold FROM sales WHERE region = 'North America' AND sale_date BETWEEN '2024-06-01' AND '2024-06-30'",1800,95000,"sales.idx_region,sales.idx_sale_date"
"SELECT COUNT(DISTINCT user_id) FROM page_views WHERE page_url LIKE '/products/%'",12500,2800000,"page_views.idx_page_url"
"SELECT id, username FROM users WHERE username = 'john_doe'",3,1,"users.idx_username"
"SELECT * FROM notifications WHERE read = 0 AND user_id IN (1,2,3,4,5,6,7,8,9,10)",420,18000,"notifications.idx_user_id,notifications.idx_read"
"SELECT department, COUNT(*) as emp_count, AVG(salary) FROM employees GROUP BY department HAVING COUNT(*) > 5",850,42000,"employees.idx_department"
"SELECT * FROM raw_data",180000,8000000,""
"SELECT order_id, customer_name, total_amount FROM orders WHERE total_amount > (SELECT AVG(total_amount) FROM orders) LIMIT 100",28000,1500000,"orders.idx_total_amount"
"SELECT c.customer_id, c.name, COUNT(o.order_id) as order_count FROM customers c LEFT JOIN orders o ON c.customer_id = o.customer_id GROUP BY c.customer_id, c.name",15000,850000,"customers.pk_id,orders.idx_customer_id"
"SELECT api_endpoint, COUNT(*) as call_count FROM api_logs WHERE timestamp > DATEADD(day, -7, GETDATE()) GROUP BY api_endpoint",3200,420000,"api_logs.idx_timestamp"
"SELECT * FROM temp_staging_table",95000,3500000,""
"SELECT id, name, email FROM users WHERE created_at > '2024-01-01' ORDER BY created_at DESC LIMIT 1000",12000,450000,"users.idx_created_at"
"SELECT product_id, product_name FROM products WHERE active = 1 AND stock > 0",850,35000,"products.idx_active,products.idx_stock"
"SELECT user_id, COUNT(*) as login_count FROM login_history WHERE login_date >= DATEADD(month, -3, GETDATE()) GROUP BY user_id ORDER BY login_count DESC",6500,320000,"login_history.idx_login_date,login_history.idx_user_id"
